,Date,Employed_Total_Persons_thousands,Employed_Total_Males_thousands,Employed_Total_Females_thousands,Employed_Full_Time_Persons_thousands,Employed_Full_Time_Males_thousands,Employed_Full_Time_Females_thousands
9,Feb-1978,524.1,342.5,181.6,435.0,324.5,110.5
10,Mar-1978,529.4,341.4,188.0,436.3,322.9,113.4
11,Apr-1978,528.3,340.6,187.7,435.6,323.3,112.3
12,May-1978,528.9,340.6,188.2,435.4,323.7,111.7
13,Jun-1978,530.7,342.6,188.1,440.2,325.4,114.8
14,Jul-1978,526.4,338.2,188.2,432.4,320.6,111.8
15,Aug-1978,525.7,340.8,184.9,437.2,323.8,113.3
16,Sep-1978,523.7,340.6,183.1,436.7,324.0,112.6
17,Oct-1978,527.5,340.2,187.4,435.9,323.7,112.2
18,Nov-1978,522.0,338.5,183.5,434.1,321.8,112.3
19,Dec-1978,524.4,340.3,184.1,434.2,324.3,109.9
20,Jan-1979,520.5,339.3,181.2,432.7,322.6,110.1
21,Feb-1979,531.2,340.8,190.4,439.0,325.5,113.5
22,Mar-1979,533.0,346.0,187.0,439.2,327.8,111.4
23,Apr-1979,530.0,343.1,186.9,441.6,327.9,113.6
24,May-1979,532.4,344.4,188.0,440.4,327.8,112.6
25,Jun-1979,532.9,343.7,189.2,439.7,326.3,113.4
26,Jul-1979,528.3,340.8,187.4,433.2,324.3,109.0
27,Aug-1979,537.1,347.0,190.1,442.6,329.6,113.0
28,Sep-1979,539.9,345.4,194.5,444.4,328.0,116.4
29,Oct-1979,537.9,345.2,192.7,442.3,327.3,115.0
30,Nov-1979,538.6,344.7,193.9,441.1,327.4,113.7
31,Dec-1979,541.1,345.6,195.6,442.0,326.4,115.6
32,Jan-1980,543.1,345.4,197.8,443.3,327.1,116.2
33,Feb-1980,543.6,347.0,196.6,444.4,327.9,116.5
34,Mar-1980,548.4,352.6,195.9,449.4,333.3,116.1
35,Apr-1980,546.4,351.1,195.3,447.6,332.5,115.2
36,May-1980,551.6,351.8,199.7,448.9,332.9,116.0
37,Jun-1980,552.6,353.2,199.4,447.9,333.9,113.9
38,Jul-1980,563.5,356.6,206.9,457.0,340.8,116.2
39,Aug-1980,561.3,357.3,203.9,457.0,339.0,117.9
40,Sep-1980,562.5,359.6,202.9,455.7,338.9,116.7
41,Oct-1980,561.3,360.1,201.2,457.5,340.5,117.0
42,Nov-1980,568.7,363.3,205.4,464.5,341.8,122.7
43,Dec-1980,569.6,363.2,206.4,468.2,343.4,124.8
44,Jan-1981,571.5,365.4,206.1,470.7,347.0,123.7
45,Feb-1981,567.4,366.1,201.3,467.0,347.2,119.8
46,Mar-1981,569.1,365.3,203.7,467.9,345.6,122.2
47,Apr-1981,571.8,363.1,208.8,469.1,344.0,125.1
48,May-1981,569.3,364.3,205.0,468.5,345.3,123.1
49,Jun-1981,573.8,365.4,208.4,469.7,345.8,123.9
50,Jul-1981,572.5,364.2,208.3,469.1,344.7,124.4
51,Aug-1981,569.6,362.8,206.8,464.7,343.5,121.2
52,Sep-1981,571.4,362.6,208.8,471.2,345.7,125.5
53,Oct-1981,572.0,363.1,208.9,467.2,345.1,122.1
54,Nov-1981,573.8,364.1,209.7,468.3,347.5,120.8
55,Dec-1981,573.8,366.8,207.0,472.7,350.7,122.0
56,Jan-1982,575.5,368.2,207.3,471.6,349.1,122.5
57,Feb-1982,576.1,368.4,207.7,468.5,348.2,120.3
58,Mar-1982,576.0,369.2,206.7,469.9,350.4,119.5
59,Apr-1982,579.5,370.1,209.5,471.7,350.0,121.7
60,May-1982,580.2,368.6,211.6,473.2,348.4,124.8
61,Jun-1982,578.6,367.5,211.1,476.3,348.2,128.1
62,Jul-1982,578.5,366.3,212.2,468.4,345.1,123.3
63,Aug-1982,579.4,365.9,213.6,469.3,345.4,123.9
64,Sep-1982,583.3,365.8,217.6,469.8,344.8,125.0
65,Oct-1982,581.0,366.9,214.1,472.4,346.0,126.4
66,Nov-1982,578.5,366.5,212.0,469.2,344.3,124.9
67,Dec-1982,575.4,363.9,211.5,467.4,342.1,125.3
68,Jan-1983,573.9,362.0,211.9,463.5,339.7,123.8
69,Feb-1983,571.7,360.0,211.7,462.7,339.4,123.3
70,Mar-1983,574.4,360.1,214.3,460.4,337.8,122.6
71,Apr-1983,569.8,358.0,211.8,459.8,338.1,121.7
72,May-1983,572.2,360.3,212.0,464.5,340.5,124.0
73,Jun-1983,569.3,361.3,208.0,466.6,340.8,125.9
74,Jul-1983,579.7,362.9,216.8,469.6,342.3,127.3
75,Aug-1983,580.8,363.5,217.3,468.7,341.3,127.4
76,Sep-1983,579.2,363.6,215.6,471.0,344.6,126.4
77,Oct-1983,581.5,364.8,216.8,471.7,344.6,127.2
78,Nov-1983,579.8,361.7,218.1,472.0,343.5,128.5
79,Dec-1983,583.6,364.4,219.2,472.6,345.0,127.6
80,Jan-1984,585.6,365.7,219.9,475.3,345.7,129.6
81,Feb-1984,591.3,367.3,224.0,478.1,345.1,133.0
82,Mar-1984,591.9,365.4,226.5,480.2,345.1,135.0
83,Apr-1984,597.3,370.7,226.6,484.7,351.6,133.0
84,May-1984,597.0,371.6,225.5,486.1,351.5,134.6
85,Jun-1984,594.6,370.6,224.0,482.7,347.9,134.8
86,Jul-1984,592.6,368.5,224.1,480.0,345.3,134.7
87,Aug-1984,598.9,373.2,225.7,489.2,350.5,138.7
88,Sep-1984,596.8,372.6,224.2,483.3,349.0,134.3
89,Oct-1984,596.6,371.2,225.4,481.5,349.1,132.4
90,Nov-1984,602.5,376.8,225.6,487.7,355.0,132.7
91,Dec-1984,604.2,377.0,227.2,489.7,355.7,134.0
92,Jan-1985,608.5,380.0,228.5,492.4,357.5,135.0
93,Feb-1985,611.2,381.4,229.8,492.5,358.4,134.1
94,Mar-1985,615.8,382.7,233.1,497.0,360.6,136.5
95,Apr-1985,620.4,385.5,235.0,497.1,360.8,136.3
96,May-1985,622.2,386.0,236.2,494.7,361.9,132.8
97,Jun-1985,623.0,386.2,236.7,497.1,361.8,135.3
98,Jul-1985,621.8,384.1,237.7,496.9,359.0,138.0
99,Aug-1985,627.1,386.9,240.2,503.2,364.1,139.2
100,Sep-1985,632.6,392.1,240.5,506.7,369.4,137.3
101,Oct-1985,636.3,391.2,245.2,506.4,365.0,141.4
102,Nov-1985,648.3,395.3,253.0,511.8,367.8,144.0
103,Dec-1985,641.8,391.4,250.4,511.8,367.5,144.3
104,Jan-1986,647.4,398.6,248.8,517.4,373.3,144.1
105,Feb-1986,650.7,398.1,252.7,519.5,373.2,146.4
106,Mar-1986,652.6,398.5,254.1,522.8,375.0,147.8
107,Apr-1986,656.7,399.7,256.9,526.0,374.1,151.9
108,May-1986,660.1,399.6,260.5,526.2,373.0,153.3
109,Jun-1986,660.2,400.1,260.1,526.6,374.8,151.8
110,Jul-1986,667.1,401.1,266.1,527.9,375.5,152.4
111,Aug-1986,663.2,400.5,262.6,527.5,374.3,153.2
112,Sep-1986,664.8,399.5,265.3,527.4,373.4,154.0
113,Oct-1986,664.3,398.9,265.3,528.4,372.3,156.1
114,Nov-1986,663.2,396.3,266.9,525.6,370.0,155.6
115,Dec-1986,658.0,397.9,260.1,526.5,371.7,154.8
116,Jan-1987,658.9,395.7,263.2,525.3,370.3,155.0
117,Feb-1987,669.3,399.3,270.0,526.7,372.4,154.2
118,Mar-1987,667.2,402.4,264.8,526.9,372.9,154.0
119,Apr-1987,667.2,403.0,264.2,532.8,376.5,156.3
120,May-1987,669.6,406.3,263.2,533.3,379.3,154.1
121,Jun-1987,677.6,411.8,265.8,537.7,383.1,154.6
122,Jul-1987,683.8,417.6,266.2,543.2,386.9,156.3
123,Aug-1987,681.0,416.3,264.7,542.6,385.1,157.5
124,Sep-1987,684.6,414.7,269.9,542.0,384.9,157.1
125,Oct-1987,691.0,420.6,270.4,546.2,390.7,155.5
126,Nov-1987,688.9,417.6,271.3,541.5,388.2,153.3
127,Dec-1987,688.6,414.4,274.2,544.4,387.2,157.2
128,Jan-1988,695.4,421.0,274.4,545.7,390.9,154.8
129,Feb-1988,695.8,423.4,272.4,549.8,392.5,157.3
130,Mar-1988,703.2,424.8,278.4,551.7,391.5,160.1
131,Apr-1988,699.3,425.6,273.7,553.8,394.8,158.9
132,May-1988,703.6,426.0,277.5,559.7,397.2,162.5
133,Jun-1988,708.3,426.9,281.3,563.2,398.2,164.9
134,Jul-1988,711.4,432.6,278.8,561.0,401.9,159.1
135,Aug-1988,715.6,433.4,282.2,562.2,404.7,157.5
136,Sep-1988,726.8,436.5,290.3,571.4,406.9,164.6
137,Oct-1988,725.8,437.9,287.9,576.5,409.2,167.3
138,Nov-1988,729.7,440.1,289.6,573.8,407.9,165.9
139,Dec-1988,732.0,442.6,289.4,575.7,412.7,163.0
140,Jan-1989,738.8,442.8,296.0,572.7,406.9,165.8
141,Feb-1989,738.6,441.9,296.7,575.7,408.2,167.5
