,Date,Retail_Turnover_WA_$millions
9,Apr-1982,313.0
10,May-1982,315.5
11,Jun-1982,321.2
12,Jul-1982,320.4
13,Aug-1982,318.5
14,Sep-1982,319.6
15,Oct-1982,322.2
16,Nov-1982,326.9
17,Dec-1982,326.5
18,Jan-1983,321.0
19,Feb-1983,328.1
20,Mar-1983,326.6
21,Apr-1983,333.0
22,May-1983,335.6
23,Jun-1983,335.9
24,Jul-1983,339.6
25,Aug-1983,349.0
26,Sep-1983,349.2
27,Oct-1983,348.1
28,Nov-1983,350.7
29,Dec-1983,349.7
30,Jan-1984,363.9
31,Feb-1984,365.8
32,Mar-1984,369.2
33,Apr-1984,367.2
34,May-1984,376.2
35,Jun-1984,367.1
36,Jul-1984,386.5
37,Aug-1984,379.8
38,Sep-1984,384.8
39,Oct-1984,393.8
40,Nov-1984,397.4
41,Dec-1984,401.0
42,Jan-1985,400.7
43,Feb-1985,401.7
44,Mar-1985,406.5
45,Apr-1985,408.2
46,May-1985,416.6
47,Jun-1985,417.7
48,Jul-1985,430.8
49,Aug-1985,436.4
50,Sep-1985,434.6
51,Oct-1985,432.2
52,Nov-1985,434.7
53,Dec-1985,438.7
54,Jan-1986,448.3
55,Feb-1986,455.8
56,Mar-1986,452.0
57,Apr-1986,453.9
58,May-1986,455.6
59,Jun-1986,461.8
60,Jul-1986,460.9
61,Aug-1986,475.2
62,Sep-1986,476.2
63,Oct-1986,479.7
64,Nov-1986,482.2
65,Dec-1986,486.6
66,Jan-1987,494.9
67,Feb-1987,505.1
68,Mar-1987,493.4
69,Apr-1987,512.8
70,May-1987,522.2
71,Jun-1987,522.2
72,Jul-1987,528.5
73,Aug-1987,528.3
74,Sep-1987,535.8
75,Oct-1987,542.7
76,Nov-1987,533.4
77,Dec-1987,562.3
78,Jan-1988,528.9
79,Feb-1988,523.3
80,Mar-1988,543.5
81,Apr-1988,561.3
82,May-1988,559.4
83,Jun-1988,551.5
84,Jul-1988,542.5
85,Aug-1988,545.8
86,Sep-1988,545.5
87,Oct-1988,559.9
88,Nov-1988,576.0
89,Dec-1988,577.9
90,Jan-1989,616.0
91,Feb-1989,601.6
92,Mar-1989,604.1
93,Apr-1989,597.2
94,May-1989,596.9
95,Jun-1989,613.4
96,Jul-1989,616.8
97,Aug-1989,621.1
98,Sep-1989,632.5
99,Oct-1989,626.3
100,Nov-1989,641.2
101,Dec-1989,628.4
102,Jan-1990,632.9
103,Feb-1990,625.5
104,Mar-1990,642.6
105,Apr-1990,649.1
106,May-1990,643.5
107,Jun-1990,666.7
108,Jul-1990,660.3
109,Aug-1990,656.4
110,Sep-1990,655.9
111,Oct-1990,653.7
112,Nov-1990,656.8
113,Dec-1990,668.5
114,Jan-1991,660.9
115,Feb-1991,667.3
116,Mar-1991,662.4
117,Apr-1991,669.5
118,May-1991,663.8
119,Jun-1991,676.6
120,Jul-1991,701.9
121,Aug-1991,706.8
122,Sep-1991,699.8
123,Oct-1991,722.7
124,Nov-1991,720.3
125,Dec-1991,723.4
126,Jan-1992,737.2
127,Feb-1992,740.3
128,Mar-1992,759.6
129,Apr-1992,772.1
130,May-1992,773.5
131,Jun-1992,754.1
132,Jul-1992,756.1
133,Aug-1992,767.4
134,Sep-1992,790.6
135,Oct-1992,824.6
136,Nov-1992,812.3
137,Dec-1992,782.4
138,Jan-1993,807.6
139,Feb-1993,814.9
140,Mar-1993,827.2
141,Apr-1993,827.2
142,May-1993,847.9
143,Jun-1993,866.0
144,Jul-1993,877.5
145,Aug-1993,874.1
146,Sep-1993,873.2
147,Oct-1993,861.0
148,Nov-1993,877.7
149,Dec-1993,902.3
150,Jan-1994,894.5
151,Feb-1994,926.3
152,Mar-1994,908.6
153,Apr-1994,897.4
154,May-1994,912.8
155,Jun-1994,927.5
156,Jul-1994,923.4
157,Aug-1994,918.3
158,Sep-1994,941.7
159,Oct-1994,925.1
160,Nov-1994,936.6
161,Dec-1994,922.6
162,Jan-1995,935.8
163,Feb-1995,927.2
164,Mar-1995,930.7
165,Apr-1995,944.1
166,May-1995,958.9
167,Jun-1995,955.5
168,Jul-1995,966.9
169,Aug-1995,986.4
170,Sep-1995,996.5
171,Oct-1995,1007.2
172,Nov-1995,1001.6
173,Dec-1995,1019.9
174,Jan-1996,1005.1
175,Feb-1996,998.5
176,Mar-1996,993.2
177,Apr-1996,1005.5
178,May-1996,1005.6
179,Jun-1996,1017.7
180,Jul-1996,1017.4
181,Aug-1996,1011.8
182,Sep-1996,981.2
183,Oct-1996,1017.4
184,Nov-1996,1007.3
185,Dec-1996,1006.2
186,Jan-1997,1054.0
187,Feb-1997,1061.0
188,Mar-1997,1054.3
189,Apr-1997,1051.1
190,May-1997,1059.6
191,Jun-1997,1048.4
192,Jul-1997,1052.4
193,Aug-1997,1062.9
194,Sep-1997,1079.0
195,Oct-1997,1068.2
196,Nov-1997,1071.5
197,Dec-1997,1072.8
198,Jan-1998,1094.6
199,Feb-1998,1081.3
200,Mar-1998,1091.6
201,Apr-1998,1097.6
202,May-1998,1094.3
203,Jun-1998,1110.9
204,Jul-1998,1119.7
205,Aug-1998,1117.1
206,Sep-1998,1114.2
207,Oct-1998,1129.4
208,Nov-1998,1143.4
209,Dec-1998,1135.9
210,Jan-1999,1153.1
211,Feb-1999,1161.0
212,Mar-1999,1178.2
213,Apr-1999,1144.8
214,May-1999,1172.0
215,Jun-1999,1159.2
216,Jul-1999,1164.2
217,Aug-1999,1179.6
218,Sep-1999,1180.2
219,Oct-1999,1199.7
220,Nov-1999,1207.6
221,Dec-1999,1199.2
222,Jan-2000,1197.1
223,Feb-2000,1218.4
224,Mar-2000,1225.1
225,Apr-2000,1228.4
226,May-2000,1233.1
227,Jun-2000,1318.9
228,Jul-2000,1193.3
229,Aug-2000,1242.3
230,Sep-2000,1265.7
231,Oct-2000,1208.4
232,Nov-2000,1211.6
233,Dec-2000,1211.6
234,Jan-2001,1219.3
235,Feb-2001,1236.7
236,Mar-2001,1239.2
237,Apr-2001,1247.5
238,May-2001,1216.0
239,Jun-2001,1244.0
240,Jul-2001,1264.0
241,Aug-2001,1277.5
242,Sep-2001,1277.2
243,Oct-2001,1307.7
244,Nov-2001,1324.2
245,Dec-2001,1322.4
246,Jan-2002,1352.1
247,Feb-2002,1351.4
248,Mar-2002,1356.5
249,Apr-2002,1352.8
250,May-2002,1373.3
251,Jun-2002,1371.6
252,Jul-2002,1344.2
253,Aug-2002,1363.3
254,Sep-2002,1345.2
255,Oct-2002,1386.4
256,Nov-2002,1409.0
257,Dec-2002,1419.6
258,Jan-2003,1416.1
259,Feb-2003,1401.7
260,Mar-2003,1420.4
261,Apr-2003,1420.0
262,May-2003,1435.4
263,Jun-2003,1435.1
264,Jul-2003,1462.9
265,Aug-2003,1475.9
266,Sep-2003,1471.7
267,Oct-2003,1471.1
268,Nov-2003,1491.2
269,Dec-2003,1505.9
270,Jan-2004,1550.7
271,Feb-2004,1524.8
272,Mar-2004,1542.8
273,Apr-2004,1559.5
274,May-2004,1565.4
275,Jun-2004,1590.9
276,Jul-2004,1604.5
277,Aug-2004,1597.3
278,Sep-2004,1642.3
279,Oct-2004,1621.6
280,Nov-2004,1625.4
281,Dec-2004,1636.5
282,Jan-2005,1614.3
283,Feb-2005,1630.1
284,Mar-2005,1626.8
285,Apr-2005,1645.7
286,May-2005,1662.8
287,Jun-2005,1688.6
288,Jul-2005,1684.0
289,Aug-2005,1711.5
290,Sep-2005,1696.1
291,Oct-2005,1698.7
292,Nov-2005,1712.9
293,Dec-2005,1728.8
294,Jan-2006,1733.6
295,Feb-2006,1771.3
296,Mar-2006,1770.9
297,Apr-2006,1791.5
298,May-2006,1810.5
299,Jun-2006,1816.0
300,Jul-2006,1831.4
301,Aug-2006,1837.5
302,Sep-2006,1868.5
303,Oct-2006,1899.8
304,Nov-2006,1906.7
305,Dec-2006,1927.3
306,Jan-2007,1957.6
307,Feb-2007,1981.3
308,Mar-2007,2003.4
309,Apr-2007,1999.8
310,May-2007,2004.4
311,Jun-2007,2013.4
312,Jul-2007,2013.4
313,Aug-2007,2024.5
314,Sep-2007,2048.8
315,Oct-2007,2037.1
316,Nov-2007,2073.2
317,Dec-2007,2058.1
318,Jan-2008,2022.9
319,Feb-2008,2017.6
320,Mar-2008,2046.5
321,Apr-2008,2075.3
322,May-2008,2073.0
323,Jun-2008,2076.9
324,Jul-2008,2124.8
325,Aug-2008,2099.7
326,Sep-2008,2097.8
327,Oct-2008,2078.4
328,Nov-2008,2071.9
329,Dec-2008,2151.7
330,Jan-2009,2130.1
331,Feb-2009,2086.8
332,Mar-2009,2143.7
333,Apr-2009,2107.1
334,May-2009,2173.2
335,Jun-2009,2173.0
336,Jul-2009,2151.2
337,Aug-2009,2138.3
338,Sep-2009,2128.1
339,Oct-2009,2156.8
340,Nov-2009,2183.8
341,Dec-2009,2185.5
342,Jan-2010,2190.7
343,Feb-2010,2182.3
344,Mar-2010,2184.0
345,Apr-2010,2208.4
346,May-2010,2189.8
347,Jun-2010,2194.1
348,Jul-2010,2187.6
349,Aug-2010,2204.1
350,Sep-2010,2228.3
351,Oct-2010,2210.5
352,Nov-2010,2216.4
353,Dec-2010,2219.9
354,Jan-2011,2273.4
355,Feb-2011,2307.4
