,Date,Male_Earnings_Full_Time_$,Male_Earnings_Total_$,Female_Earnings_Full_Time_$,Female_Earnings_Total_$,People_Earnings_Full_Time_$,People_Earnings_Total_$
9,May-2012,1826.70,1556.10,1266.90,834.30,1635.20,1204.50
10,Nov-2012,1888.50,1614.90,1298.90,847.30,1692.40,1244.00
11,May-2013,1935.70,1664.30,1350.50,889.60,1740.50,1297.90
12,Nov-2013,1869.00,1619.20,1363.00,917.10,1705.90,1296.30
13,May-2014,1919.70,1637.90,1359.60,933.30,1736.80,1314.30
14,Nov-2014,1989.20,1686.60,1389.90,953.80,1792.90,1346.70
15,May-2015,1987.80,1682.70,1395.90,955.30,1784.80,1340.00
16,Nov-2015,1993.80,1633.10,1429.40,964.10,1806.00,1326.80
17,May-2016,1976.80,1635.70,1422.80,944.30,1795.30,1319.70
18,Nov-2016,1989.60,1637.70,1432.50,982.80,1798.50,1327.60
19,May-2017,1965.70,1637.20,1450.00,978.00,1795.50,1333.20
20,Nov-2017,1996.20,1654.80,1477.10,975.30,1824.80,1332.50
21,May-2018,1996.30,1642.90,1481.50,967.70,1820.90,1320.40
22,Nov-2018,2040.00,1640.70,1495.30,965.90,1845.10,1299.30
23,May-2019,2030.50,1643.70,1528.30,962.20,1858.10,1311.00
24,Nov-2019,2042.20,1691.40,1515.80,988.30,1858.60,1334.90
25,May-2020,2092.60,1726.70,1567.00,1064.50,1910.60,1409.40
26,Nov-2020,2085.50,1724.30,1563.50,1001.60,1908.00,1362.20
27,May-2021,2138.10,1781.50,1613.00,1055.70,1961.50,1438.80
28,Nov-2021,2159.00,1809.20,1639.00,1061.10,1979.20,1432.90
29,May-2022,2201.90,1810.50,1660.90,1139.70,2011.80,1491.50
