,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Unit,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000,000,000,000,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,000,000,000,000,000,000
Series Type,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Trend,Seasonally Adjusted,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978,Feb-1978
Series End,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022,Oct-2022
No. Obs,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537
Series ID,A84423993J,A84423321T,A84423657W,A84423881R,A84423209T,A84423545C,A84424105T,A84423433K,A84423769R,A84424001X,A84423329K,A84423665W,A84423889J,A84423217T,A84423553C,A84424113T,A84423441K,A84423777R,A84423666X,A84423554F,A84423778T,A84424000W,A84423328J,A84423664V,A84423888F,A84423216R,A84423552A,A84424112R,A84423440J,A84423776L,A84423994K,A84423322V,A84423658X,A84423882T,A84423210A,A84423546F,A84424106V,A84423434L,A84423770X,A84423667A,A84423555J,A84423779V,A84423668C,A84423556K,A84423780C,A84423998V,A84423326C,A84423662R,A84423886A,A84423214K,A84423550W,A84424110K,A84423438W,A84423774J,A84423669F,A84423557L,A84423781F,A84423670R,A84423558R,A84423782J,A84423995L,A84423323W,A84423659A,A84423883V,A84423211C,A84423547J,A84424107W,A84423435R,A84423771A,A84423999W,A84423327F,A84423663T,A84423887C,A84423215L,A84423551X,A84424111L,A84423439X,A84423775K,A84423660K,A84423548K,A84423772C,A84423661L,A84423549L,A84423773F
Feb-1978,529.8,524.1,522.9,341.8,342.5,344.8,188.0,181.6,178.1,435.4,435.0,439.3,323.6,324.5,328.9,111.8,110.5,110.5,83.5,16.0,67.6,59.9,59.3,59.1,76.7,76.9,77.4,42.8,41.4,40.6,35.0,37.5,43.0,17.9,18.6,21.1,17.1,18.9,21.9,33.9,20.1,13.8,9.1,0.9,8.2,6.2,6.7,7.6,5.0,5.1,5.8,8.3,9.4,11.0,7.2,5.8,11.1,9.8,5.5,10.8,564.8,561.6,565.9,359.7,361.1,365.9,205.1,200.6,200.0,63.9,63.5,64.0,80.8,81.1,82.2,46.7,45.7,45.6,318.3,79.4,238.9,884.2,445.3,438.9
